transactionID,dateTime,customerID,productID,categoryID,storeID,salesPersonID,productValue
217073,1970-04-06 18:15:00,,5262.0,71.0,1,Unknown,7.0
218249,1970-06-03 13:32:00,,5402.0,132.0,7,Unknown,8.5
220469,1970-12-15 12:41:00,,2375.0,64.0,19,33.0,14.5
220469,1970-12-15 12:41:00,,2328.0,64.0,19,33.0,20.4
220940,1970-12-02 14:47:00,,5793.0,36.0,27,50.0,8.0
220960,1970-02-24 15:41:00,,5133.0,131.0,17,Unknown,11.5
220960,1970-02-24 15:41:00,,2195.0,49.0,17,Unknown,12.15
220960,1970-02-24 15:41:00,,2193.0,49.0,17,Unknown,12.15
220960,1970-02-24 15:41:00,,5136.0,131.0,17,Unknown,17.55
221445,1970-06-20 15:18:00,,4101.0,75.0,1,Unknown,16.5
221445,1970-06-20 15:18:00,,3004.0,24.0,1,Unknown,10.0
222901,1970-12-10 14:04:00,,3987.0,71.0,2,170.0,4.0
224267,1970-04-14 16:00:00,,2971.0,140.0,1,Unknown,10.17
224267,1970-04-14 16:00:00,,2685.0,52.0,1,Unknown,13.05
224267,1970-04-14 16:00:00,,2044.0,44.0,1,Unknown,11.34
229202,1970-08-14 09:47:00,,3774.0,94.0,9,Unknown,11.3
229202,1970-08-14 09:47:00,,4521.0,94.0,9,Unknown,15.7
231885,1970-12-02 15:10:00,,5839.0,71.0,15,1.0,7.0
231885,1970-12-02 15:10:00,,566.0,173.0,15,1.0,2.1
232009,1970-03-15 14:36:00,,3955.0,134.0,5,Unknown,8.5
232009,1970-03-15 14:36:00,,5262.0,71.0,5,Unknown,7.0
236802,1970-12-22 14:00:00,25697.0,5481.0,163.0,21,11.0,11.88
236802,1970-12-22 14:00:00,25697.0,2859.0,48.0,21,11.0,16.11
236802,1970-12-22 14:00:00,25697.0,2850.0,48.0,21,11.0,12.51
239471,1970-11-05 12:20:00,,5585.0,99.0,16,42.0,7.8
240622,1970-04-15 18:50:00,,4075.0,92.0,1,Unknown,21.3
244005,1970-12-03 15:51:00,,4362.0,127.0,15,31.0,14.4
244148,1970-11-25 16:14:00,,1661.0,92.0,36,129.0,18.9
248783,1970-11-05 17:39:00,,7040.0,91.0,8,72.0,18.9
248984,1970-10-22 11:21:00,,2197.0,49.0,11,97.0,17.9
248984,1970-10-22 11:21:00,,2200.0,49.0,11,97.0,12.4
261767,1971-01-03 14:16:00,,5636.0,148.0,29,36.0,5.95
261767,1971-01-03 14:16:00,,5638.0,148.0,29,36.0,13.3
